Station,Location,Longitude,Latitude,Comments
28079001,Pº. Recoletos,-3.691945,40.422501,Closed on 04/05/2009
28079002,Glta. de Carlos V,-3.691945,40.409725,Closed on 04/12/2006
28079004,Pza. de España,-3.712222,40.424167,
28079006,Pza. Dr. Marañón,-3.690833,40.437778,Closed on 27/11/2009
28079007,Pza. M. de Salamanca,-3.680278,40.421669,Closed on 30/12/2009
28079008,Escuelas Aguirre,-3.682222,40.421667,
28079009,Pza. Luca de Tena,-3.693611,40.402225,Closed on 07/12/2009
28079011,Av. Ramón y Cajal,-3.677222,40.451667,
28079012,Pza. Manuel Becerra,-3.668611,40.428612,Closed on 30/12/2009
28079014,Pza. Fdez. Ladreda,-3.716667,40.385,Closed on 02/12/2009
28079015,Pza. Castilla,-3.688611,40.468334,Closed on 17/10/2008
28079016,Arturo Soria,-3.639167,40.44,
28079017,Villaverde Alto,-3.705,40.346944,
28079018,C/ Farolillo,-3.731944,40.394722,
28079023,Final C/ Alcalá,-3.604444,40.450279,Closed on 30/12/2009
28079024,Casa de Campo,-3.749167,40.42,
28079025,Santa Eugenia,-3.6025,40.379444,Closed on 16/11/2009
28079026,Urb. Embajada (Barajas),-3.578889,40.459999,Closed on 11/01/2010
28079027,Barajas,-3.575,40.474722,
28079035,Pza. del Carmen,-3.703333,40.419167,
28079036,Moratalaz,-3.645278,40.408056,
28079038,Cuatro Caminos,-3.706389,40.445278,
28079039,Barrio del Pilar,-3.711389,40.478333,
28079040,Vallecas,-3.651389,40.388056,
28079047,Méndez Álvaro,-3.686667,40.398056,Since 21/12/2009
28079048,Pº. Castellana,-3.690278,40.439722,Since 01/06/2010
28079049,Retiro,-3.685556,40.409722,Since 01/01/2010
28079050,Pza. Castilla,-3.688333,40.465833,Since 08/02/2010
28079054,Ensanche Vallecas,-3.611944,40.372778,Since 11/12/2009
28079055,Urb. Embajada (Barajas),-3.580556,40.4625,Since 20/01/2010
28079056,Pza. Fdez. Ladreda,-3.718611,40.384722,Since 18/01/2010
28079057,Sanchinarro,-3.660278,40.494167,Since 24/11/2009
28079058,El Pardo,-3.774444,40.518056,Since 30/11/2009
28079059,Parque Juan Carlos I,-3.608889,40.465,Since 14/12/2009
28079060,Tres Olivos,-3.689722,40.500556,Since 14/01/2010
